,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
1354,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,5.0,1.0
1355,2.0,1.0,1.0,3.0,2.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1356,2.0,3.0,2.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1357,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1358,3.0,3.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1359,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1363,2.0,2.0,2.0,4.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1364,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1365,-8.0,2.0,-8.0,-8.0,-8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1366,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1367,2.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1368,3.0,1.0,1.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1370,3.0,2.0,3.0,2.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1371,3.0,3.0,1.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1372,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1373,2.0,2.0,1.0,2.0,-8.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1374,2.0,1.0,1.0,3.0,3.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1375,3.0,1.0,1.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1376,-8.0,2.0,1.0,2.0,2.0,4.0,2.0,-1.0,1.0,-1.0,1.0
1377,2.0,1.0,1.0,5.0,2.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1379,4.0,4.0,2.0,4.0,3.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1382,1.0,2.0,3.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1383,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,0.0
1384,4.0,3.0,4.0,3.0,3.0,3.0,-1.0,2.0,-1.0,-1.0,1.0
